Introduction (Google Machine Learning Glossary)|"

<p>This deck has taken definitions outlined in <a href=""https://developers.google.com/machine-learning/glossary/"">Google's Machine Learning Glossary</a> and put them into a form which can be easily learnt/revised using <a href=""https://apps.ankiweb.net/"">Anki</a> a cross platform app.</p>
<h2>Notes</h2>
<p>Please note the modifications which have been made &amp; where you can find updates.</p>
<ol align=""left"">
<li>Every card has ""(Google Machine Learning Glossary)"" appended to the end so that if you have any other Machine Learning words in your collection, the Google definition will still be added when importing it.</li>
<li>The original relative urls have been made into full urls so they are clickable within Anki.</li>
<li>All LaTeX formulae have been wrapped with text to ensure that it can be rendered correctly in Anki.</li>
<li>Any updates, translations or corrections to the deck will be available at <a href=""https://github.com/darigovresearch/Google-Machine-Learning-Glossary-Flashcards""></a><a href=""https://github.com/darigovresearch/Google-Machine-Learning-Glossary-Flashcards"">https://github.com/darigovresearch/Google-Machine-Learning-Glossary-Flashcards</a> so do return periodically to check if you have the latest version.</li>
</ol>
<p>Feel free to share the deck and give the repository a star so more people can get the most out of it.</p>
<h2>License</h2>
<p>Except as otherwise noted, the content of this deck is licensed under the <a href=""https://creativecommons.org/licenses/by/4.0/"">Creative Commons Attribution 4.0 License</a>, and code samples are licensed under the <a href=""https://www.apache.org/licenses/LICENSE-2.0"">Apache 2.0 License</a>. For details, see the <a href=""https://developers.google.com/site-policies"">Google Developers Site Policies</a>. Java is a registered trademark of Oracle and/or its affiliates.</p>
<p>To see this work in full go to <a href=""https://developers.google.com/machine-learning/glossary/"">https://developers.google.com/machine-learning/glossary/</a></p>

"
A/B testing (Google Machine Learning Glossary)|"

<p>A statistical way of comparing two (or more) techniques, typically an incumbent
against a new rival. A/B testing aims to determine not only which technique
performs better but also to understand whether the difference is
statistically significant. A/B testing usually considers only two techniques
using one measurement, but it can be applied to any finite number of techniques
and measures.</p>

"
accuracy (Google Machine Learning Glossary)|"

<p>The fraction of <a href=""https://developers.google.com/machine-learning/glossary/#prediction""><strong>predictions</strong></a> that a
<a href=""https://developers.google.com/machine-learning/glossary/#classification_model""><strong>classification model</strong></a> got right. In
<a href=""https://developers.google.com/machine-learning/glossary/#multi-class""><strong>multi-class classification</strong></a>, accuracy
is defined as follows:</p>

<div>
[$$]\text{Accuracy} =
\frac{\text{Correct Predictions}} {\text{Total Number Of Examples}}[/$$]
</div>

<p>In <a href=""https://developers.google.com/machine-learning/glossary/#binary_classification""><strong>binary classification</strong></a>, accuracy has
the following definition:</p>

<div>
[$$]\text{Accuracy} = \frac{\text{True Positives} + \text{True Negatives}}
                         {\text{Total Number Of Examples}}[/$$]
</div>

<p>See <a href=""https://developers.google.com/machine-learning/glossary/#TP""><strong>true positive</strong></a> and
<a href=""https://developers.google.com/machine-learning/glossary/#TN""><strong>true negative</strong></a>.</p>

"
action (Google Machine Learning Glossary)|"

<p>In reinforcement learning, the mechanism by which the <a href=""https://developers.google.com/machine-learning/glossary/#agent""><strong>agent</strong></a>
transitions between <a href=""https://developers.google.com/machine-learning/glossary/#state""><strong>states</strong></a> of the
<a href=""https://developers.google.com/machine-learning/glossary/#environment""><strong>environment</strong></a>. The agent chooses the action by using a
<a href=""https://developers.google.com/machine-learning/glossary/#policy""><strong>policy</strong></a>.</p>

"
activation function (Google Machine Learning Glossary)|"

<p>A function (for example, <a href=""https://developers.google.com/machine-learning/glossary/#ReLU""><strong>ReLU</strong></a> or <a href=""https://developers.google.com/machine-learning/glossary/#sigmoid_function""><strong>sigmoid</strong></a>)
that takes in the weighted sum of all of the inputs from the previous layer
and then generates and passes an output value (typically nonlinear) to the next
layer.</p>

"
active learning (Google Machine Learning Glossary)|"

<p>A <a href=""https://developers.google.com/machine-learning/glossary/#training""><strong>training</strong></a> approach in which the
algorithm <em>chooses</em> some of the data it learns from. Active learning
is particularly valuable when <a href=""https://developers.google.com/machine-learning/glossary/#labeled_example""><strong>labeled examples</strong></a>
are scarce or expensive to obtain. Instead of blindly seeking a diverse
range of labeled examples, an active learning algorithm selectively seeks
the particular range of examples it needs for learning.</p>

"
AdaGrad (Google Machine Learning Glossary)|"

<p>A sophisticated gradient descent algorithm that rescales the
gradients of each parameter, effectively giving each parameter
an independent <a href=""https://developers.google.com/machine-learning/glossary/#learning_rate""><strong>learning rate</strong></a>. For a full explanation, see
<a href=""http://www.jmlr.org/papers/volume12/duchi11a/duchi11a.pdf""
target=""T"">this paper</a>.</p>

"
agent (Google Machine Learning Glossary)|"

<p>In reinforcement learning, the entity that uses a <a href=""https://developers.google.com/machine-learning/glossary/#policy""><strong>policy</strong></a>
to maximize expected <a href=""https://developers.google.com/machine-learning/glossary/#return""><strong>return</strong></a> gained from transitioning
between <a href=""https://developers.google.com/machine-learning/glossary/#state""><strong>states</strong></a> of the  <a href=""https://developers.google.com/machine-learning/glossary/#environment""><strong>environment</strong></a>.</p>

"
agglomerative clustering (Google Machine Learning Glossary)|"

<p>See <a href=""https://developers.google.com/machine-learning/glossary/#hierarchical_clustering""><strong>hierarchical clustering</strong></a>.</p>

"
AR (Google Machine Learning Glossary)|"

<p>Abbreviation for <a href=""https://developers.google.com/machine-learning/glossary/#augmented_reality""><strong>augmented reality</strong></a>.</p>

"
