A/B 테스트(A/B testing) (Google의 머신러닝 용어집)|"
<p>둘 이상의 기법을 통계적으로 비교하는 방법으로서, 일반적으로 기존 기법과
새로운 기법을 서로 비교합니다. A/B 테스트의 목표는 더 우수한 기법을 찾는
것뿐만 아니라 그 차이가 통계적 유의성을 갖는지 여부를
파악하는 것입니다. A/B 테스트에서는 일반적으로 단일 측정항목을 사용하여
두 기법을 비교하지만, 적용 가능한 기법 및 측정항목의 수에는 유한성의 범위 내에서
제한이 없습니다.</p>
"
정확성(accuracy) (Google의 머신러닝 용어집)|"
<p><a href=""https://developers.google.com/machine-learning/glossary/#classification_model""><strong>분류 모델</strong></a>의 예측이 얼마나
정확한지를 의미합니다. <a href=""https://developers.google.com/machine-learning/glossary/#multi-class""><strong>다중
클래스 분류</strong></a>에서 정확성의
정의는 다음과 같습니다.</p>
<div>
$$\text{정확성} =
\frac{\text{정확한 예측}} {\text{총 예시 수}}$$
</div>

<p><a href=""https://developers.google.com/machine-learning/glossary/#binary_classification""><strong>이진 분류</strong></a>에서 정확성의
정의는 다음과 같습니다.</p>
<div>
$$\text{정확성} = \frac{\text{참양성} + \text{참음성}}
                         {\text{총 예시 수}}$$
</div>

<p><a href=""https://developers.google.com/machine-learning/glossary/#TP""><strong>참양성</strong></a> 및
<a href=""https://developers.google.com/machine-learning/glossary/#TN""><strong>참음성</strong></a>을 참조하세요.</p>
"
활성화 함수(activation function) (Google의 머신러닝 용어집)|"
<p>이전 레이어의 모든 입력에 대한
가중 합을 취하고 출력 값(일반적으로 비선형)을 생성하여
다음 레이어로 전달하는 <a href=""https://developers.google.com/machine-learning/glossary/#ReLU""><strong>ReLU</strong></a>, <a href=""https://developers.google.com/machine-learning/glossary/#sigmoid_function""><strong>시그모이드</strong></a> 등의
함수입니다.</p>
"
AdaGrad (Google의 머신러닝 용어집)|"
<p>각 매개변수의 경사를 재조정하여 사실상 각 매개변수에
독립적인 <a href=""https://developers.google.com/machine-learning/glossary/#learning_rate""><strong>학습률</strong></a>을 부여하는 정교한 경사하강법
알고리즘입니다. 자세한 설명은
<a href=""http://www.jmlr.org/papers/volume12/duchi11a/duchi11a.pdf"">이 논문</a>을 참조하세요.</p>
"
AUC(ROC 곡선 아래 영역) (Google의 머신러닝 용어집)|"
<p>가능한 모든 <a href=""https://developers.google.com/machine-learning/glossary/#classification_threshold""><strong>분류 임계값</strong></a>을 고려하는
평가 측정항목입니다.</p>
<p>AUC(<a href=""https://developers.google.com/machine-learning/glossary/#ROC"">ROC 곡선</a> 아래 영역)는 무작위로 선택한 긍정 예가
실제로 긍정일 가능성이 무작위로 선택한 부정 예가 긍정일
가능성보다 높다고 분류자가 신뢰할 확률입니다.</p>

"
역전파(backpropagation) (Google의 머신러닝 용어집)|"
<p><a href=""https://developers.google.com/machine-learning/glossary/#neural_network""><strong>신경망</strong></a>에서
<a href=""https://developers.google.com/machine-learning/glossary/#gradient_descent""><strong>경사하강법</strong></a>을 수행하는
기본 알고리즘입니다. 우선, 정방향 단계에서
각 노드의 출력 값을 계산하고 캐시합니다.
그런 다음
역방향 단계에서
그래프를 통과하며 각 매개변수를 기준으로 오차의
<a href=""https://en.wikipedia.org/wiki/Partial_derivative"">편미분</a>을 계산합니다.</p>
"
기준(baseline) (Google의 머신러닝 용어집)|"
<p>모델의 성능을 비교하는 참조 지점으로 사용되는 단순한
<a href=""https://developers.google.com/machine-learning/glossary/#model""><strong>모델</strong></a> 또는 휴리스틱입니다. 기준은 모델 개발자가 특정 문제에 예상되는
최소 성능을 산정하는 데 도움을 줍니다.</p>
"
배치(batch) (Google의 머신러닝 용어집)|"
<p><a href=""https://developers.google.com/machine-learning/glossary/#model_training""><strong>모델 학습</strong></a>의 <a href=""https://developers.google.com/machine-learning/glossary/#iteration""><strong>반복</strong></a> 1회, 즉
<a href=""https://developers.google.com/machine-learning/glossary/#gradient""><strong>경사</strong></a> 업데이트 1회에 사용되는
예의 집합입니다.</p>
<p><a href=""https://developers.google.com/machine-learning/glossary/#batch_size""><strong>배치 크기</strong></a>를 참조하세요.</p>
"
배치 크기(batch size) (Google의 머신러닝 용어집)|"
<p><a href=""https://developers.google.com/machine-learning/glossary/#batch""><strong>배치</strong></a> 하나에 포함되는 예의 개수입니다. 예를 들어 <a href=""https://developers.google.com/machine-learning/glossary/#SGD""><strong>SGD</strong></a>의
배치 크기는 1이고, <a href=""https://developers.google.com/machine-learning/glossary/#mini-batch""><strong>미니 배치</strong></a>의
배치 크기는 일반적으로 10~1,000입니다. 학습 및 추론 중에
배치 크기는 일반적으로 고정되지만, 텐서플로우는 동적 배치 크기를
허용합니다.</p>
"
편향(bias) (Google의 머신러닝 용어집)|"
<p>원점을 기준으로 한 절편 또는 오프셋입니다. 편향 또는 <strong>바이어스 항</strong>은
머신러닝 모델에서 <em>b</em> 또는 <i>w<sub>0</sub></i>으로
표현됩니다.  예를 들어 다음 수식에서 편향은
<em>b</em>입니다.</p>
<div>
$$y' = b + w_1x_1 + w_2x_2 + … w_nx_n$$
</div>

<p><a href=""https://developers.google.com/machine-learning/glossary/#prediction_bias""><strong>예측 편향</strong></a>과 혼동하지 마시기 바랍니다.</p>
"
이진 분류(binary classification) (Google의 머신러닝 용어집)|"
<p>상호 배타적인 두 클래스 중 하나를 출력하는 분류 작업
유형입니다. 예를 들어 이메일 메시지를 평가하고 '스팸' 또는
'스팸 아님'을 출력하는 머신러닝 모델은 이진 분류자입니다.</p>
"
비닝(binning) (Google의 머신러닝 용어집)|"
<p><a href=""https://developers.google.com/machine-learning/glossary/#bucketing""><strong>버케팅</strong></a>을 참조하세요.</p>
"
버케팅(bucketing) (Google의 머신러닝 용어집)|"
<p>하나의 특성(일반적으로 <a href=""https://developers.google.com/machine-learning/glossary/#continuous_feature""><strong>연속</strong></a>)을 버킷(bucket) 또는
빈(bin)이라고 하는 여러 이진 특성으로 변환하는 작업으로서, 일반적으로 값 범위를
기준으로 합니다. 예를 들어 온도를 하나의 부동 소수점 연속 특성으로
표현하는 대신 온도 범위를 불연속 빈으로 나눌 수
있습니다. 민감도가 1/10도인 온도 데이터가 있다면
0.0~15.0도 범위의 모든 온도를 1번 빈에,
15.1~30.0도 범위를 2번 빈에, 30.1~50.0도 범위를 3번 빈에
넣을 수 있습니다.</p>

"
캘리브레이션 레이어(calibration layer) (Google의 머신러닝 용어집)|"
<p>일반적으로 <a href=""https://developers.google.com/machine-learning/glossary/#prediction_bias""><strong>예측 편향</strong></a>을 보정하기 위한
예측 후 조정입니다. 조정된 예측 및 확률은
관찰된 라벨 집합의 분포와 일치해야 합니다.</p>
"
